index,name,address,Website,Type,Size,Address,City,State,ZipCode,associates,Profit,True/False
0,A T Still University of Health Sciences,"800 W Jefferson, Kirksville, Missouri 63501",WWW.ATSU.EDU,"4-year, Private not-for-profit",3480.0,800 W Jefferson, Kirksville,Missouri,63501,0,Not-For-Profit,False
1,Abilene Christian University,"1600 Campus Court, Abilene, Texas 79699",www.acu.edu,"4-year, Private not-for-profit",4669.0,1600 Campus Court, Abilene,Texas,79699,0,Not-For-Profit,False
2,Abraham Baldwin Agricultural College,"2802 Moore Hwy, Tifton, Georgia 31793-2601",www.abac.edu,"4-year, primarily associate's, Public",3600.0,2802 Moore Hwy, Tifton,Georgia,31793-2601,1,Not-For-Profit,True
3,Academy College,"1101 E. 78th Street, Suite 100, Minneapolis, Minnesota 55420-1554",www.academycollege.edu,"4-year, primarily associate's, Private for-profit",165.0,"1101 E. 78th Street, Suite 100", Minneapolis,Minnesota,55420-1554,1,For-Profit,True
4,Academy for Five Element Acupuncture,"305 SE 2nd Ave, Gainesville, Florida 32601",www.acupuncturist.edu,"4-year, Private not-for-profit",51.0,305 SE 2nd Ave, Gainesville,Florida,32601,0,Not-For-Profit,False
5,Academy of Art University,"79 New Montgomery, San Francisco, California 94105",www.academyart.edu,"4-year, Private for-profit",13181.0,79 New Montgomery, San Francisco,California,94105,0,For-Profit,False
6,Academy of Chinese Culture and Health Sciences,"1601 Clay St, Oakland, California 94612",www.acchs.edu,"4-year, Private not-for-profit",92.0,1601 Clay St, Oakland,California,94612,0,Not-For-Profit,False
7,Academy of Oriental Medicine,"2700 W Anderson Ln Ste 204, Austin, Texas 78757",www.aoma.edu,"4-year, Private for-profit",207.0,2700 W Anderson Ln Ste 204, Austin,Texas,78757,0,For-Profit,False
8,Academy of Vocal Arts,"1920 Spruce St, Philadelphia, Pennsylvania 19103-6685",www.avaopera.org,"4-year, Private not-for-profit",27.0,1920 Spruce St, Philadelphia,Pennsylvania,19103-6685,0,Not-For-Profit,False
9,Acupuncture and Integrative Medicine College-Berkeley,"2550 Shattuck Ave, Berkeley, California 94704",www.aimc.edu,"4-year, Private not-for-profit",181.0,2550 Shattuck Ave, Berkeley,California,94704,0,Not-For-Profit,False
10,Acupuncture and Massage College,"10506 N Kendall Drive, Miami, Florida 33176",WWW.AMCOLLEGE.edu,"4-year, primarily associate's, Private for-profit",131.0,10506 N Kendall Drive, Miami,Florida,33176,1,For-Profit,True
11,Adams State College,"208 Edgemont Blvd, Alamosa, Colorado 81102",www.adams.edu,"4-year, Public",2920.0,208 Edgemont Blvd, Alamosa,Colorado,81102,0,Not-For-Profit,False
12,Adelphi University,"South Ave, Garden City, New York 11530-0701",WWW.ADELPHI.EDU,"4-year, Private not-for-profit",8177.0,South Ave, Garden City,York,11530-0701,0,Not-For-Profit,False
13,Adler Graduate School,"1550 East 78th Street, Richfield, Minnesota 55423",www.alfredadler.edu,"4-year, Private not-for-profit",274.0,1550 East 78th Street, Richfield,Minnesota,55423,0,Not-For-Profit,False
14,Adler School of Professional Psychology,"65 East Wacker Place, Suite 2100, Chicago, Illinois 60601",www.adler.edu,"4-year, Private not-for-profit",639.0,"65 East Wacker Place, Suite 2100", Chicago,Illinois,60601,0,Not-For-Profit,False
15,Adrian College,"110 S Madison St, Adrian, Michigan 49221-2575",www.adrian.edu,"4-year, Private not-for-profit",1469.0,110 S Madison St, Adrian,Michigan,49221-2575,0,Not-For-Profit,False
16,Agnes Scott College,"141 E. College Ave, Decatur, Georgia 30030-3797",www.agnesscott.edu,"4-year, Private not-for-profit",832.0,141 E. College Ave, Decatur,Georgia,30030-3797,0,Not-For-Profit,False
17,AI Miami International University of Art and Design,"1501 Biscayne Boulevard, Miami, Florida 33132-1418",www.aimiu.aii.edu,"4-year, Private for-profit",3429.0,1501 Biscayne Boulevard, Miami,Florida,33132-1418,0,For-Profit,False
18,AIB College of Business,"2500 Fleur Drive, Des Moines, Iowa 50321-1799",www.aib.edu,"4-year, primarily associate's, Private not-for-profit",985.0,2500 Fleur Drive, Des Moines,Iowa,50321-1799,1,Not-For-Profit,True
19,Air Force Institute of Technology-Graduate School of Engineering & Management,"2950 Hobson Way-Wright Patterson AFB, Dayton, Ohio 45433-7765",www.afit.edu,"4-year, Public",773.0,2950 Hobson Way-Wright Patterson AFB, Dayton,Ohio,45433-7765,0,Not-For-Profit,False
20,Alabama A & M University,"4900 Meridian St, Normal, Alabama 35762",www.aamu.edu/,"4-year, Public",5124.0,4900 Meridian St, Normal,Alabama,35762,0,Not-For-Profit,False
21,Alabama State University,"915 S Jackson Street, Montgomery, Alabama 36101-0271",www.alasu.edu,"4-year, Public",5695.0,915 S Jackson Street, Montgomery,Alabama,36101-0271,0,Not-For-Profit,False
22,Alaska Pacific University,"4101 University Dr, Anchorage, Alaska 99508",www.alaskapacific.edu,"4-year, Private not-for-profit",803.0,4101 University Dr, Anchorage,Alaska,99508,0,Not-For-Profit,False
23,Albany College of Pharmacy and Health Sciences,"106 New Scotland Avenue, Albany, New York 12208-3492",www.acp.edu,"4-year, Private not-for-profit",1525.0,106 New Scotland Avenue, Albany,York,12208-3492,0,Not-For-Profit,False
24,Albany Law School,"80 New Scotland Avenue, Albany, New York 12208",www.albanylaw.edu,"4-year, Private not-for-profit",784.0,80 New Scotland Avenue, Albany,York,12208,0,Not-For-Profit,False
25,Albany Medical College,"47 New Scotland Ave, Albany, New York 12208-0000",www.amc.edu,"4-year, Private not-for-profit",839.0,47 New Scotland Ave, Albany,York,12208-0000,0,Not-For-Profit,False
26,Albany State University,"504 College Dr., Albany, Georgia 31705",www.asurams.edu/,"4-year, Public",4176.0,504 College Dr., Albany,Georgia,31705,0,Not-For-Profit,False
27,Albertus Magnus College,"700 Prospect St, New Haven, Connecticut 06511-1189",www.albertus.edu,"4-year, Private not-for-profit",2129.0,700 Prospect St, New Haven,Connecticut,06511-1189,0,Not-For-Profit,False
28,Albion College,"611 E Porter St, Albion, Michigan 49224",www.albion.edu,"4-year, Private not-for-profit",1860.0,611 E Porter St, Albion,Michigan,49224,0,Not-For-Profit,False
29,Albright College,"1621 N. 13th St., Reading, Pennsylvania 19612-5234",www.albright.edu,"4-year, Private not-for-profit",2305.0,1621 N. 13th St., Reading,Pennsylvania,19612-5234,0,Not-For-Profit,False
30,Alcorn State University,"1000 ASU Dr Ste 359, Alcorn State, Mississippi 39096-7500",www.alcorn.edu,"4-year, Public",3252.0,1000 ASU Dr Ste 359, Alcorn State,Mississippi,39096-7500,0,Not-For-Profit,False
31,Alderson Broaddus College,"101 College Hill Drive, Philippi, West Virginia 26416-2035",www.ab.edu/,"4-year, Private not-for-profit",738.0,101 College Hill Drive, Philippi,Virginia,26416-2035,0,Not-For-Profit,False
32,Alfred University,"One Saxon Drive, Alfred, New York 14802-1205",www.alfred.edu,"4-year, Private not-for-profit",2427.0,One Saxon Drive, Alfred,York,14802-1205,0,Not-For-Profit,False
33,Alice Lloyd College,"100 Purpose Rd, Pippa Passes, Kentucky 41844",www.alc.edu,"4-year, Private not-for-profit",609.0,100 Purpose Rd, Pippa Passes,Kentucky,41844,0,Not-For-Profit,False
34,Allegheny College,"520 N Main St, Meadville, Pennsylvania 16335-3902",www.allegheny.edu,"4-year, Private not-for-profit",2125.0,520 N Main St, Meadville,Pennsylvania,16335-3902,0,Not-For-Profit,False
35,Allegheny Wesleyan College,"2161 Woodsdale Rd, Salem, Ohio 44460-9598",awc.edu,"4-year, Private not-for-profit",55.0,2161 Woodsdale Rd, Salem,Ohio,44460-9598,0,Not-For-Profit,False
36,Allen College,"1990 Heath St, Waterloo, Iowa 50703-1999",www.allencollege.edu,"4-year, Private not-for-profit",417.0,1990 Heath St, Waterloo,Iowa,50703-1999,0,Not-For-Profit,False
37,Allen University,"1530 Harden Street, Columbia, South Carolina 29204",www.allenuniversity.edu,"4-year, Private not-for-profit",725.0,1530 Harden Street, Columbia,Carolina,29204,0,Not-For-Profit,False
41,Alliant International University,"10455 Pomerado Road, San Diego, California 92131-1799",www.alliant.edu,"4-year, Private not-for-profit",4149.0,10455 Pomerado Road, San Diego,California,92131-1799,0,Not-For-Profit,False
44,Alma College,"614 W Superior, Alma, Michigan 48801-1599",www.alma.edu,"4-year, Private not-for-profit",1382.0,614 W Superior, Alma,Michigan,48801-1599,0,Not-For-Profit,False
45,Alvernia College,"400 Saint Bernardine St, Reading, Pennsylvania 19607-1799",www.alvernia.edu,"4-year, Private not-for-profit",2809.0,400 Saint Bernardine St, Reading,Pennsylvania,19607-1799,0,Not-For-Profit,False
46,Alverno College,"3400 S 43rd  St, Milwaukee, Wisconsin 53234-3922",www.alverno.edu,"4-year, Private not-for-profit",2782.0,3400 S 43rd  St, Milwaukee,Wisconsin,53234-3922,0,Not-For-Profit,False
47,Amberton University,"1700 Eastgate Dr, Garland, Texas 75041-5595",www.amberton.edu,"4-year, Private not-for-profit",1562.0,1700 Eastgate Dr, Garland,Texas,75041-5595,0,Not-For-Profit,False
48,American Academy of Acupuncture and Oriental Medicine,"1925 W County Rd B-2, Roseville, Minnesota 55113",www.aaaom.edu,"4-year, Private for-profit",111.0,1925 W County Rd B-2, Roseville,Minnesota,55113,0,For-Profit,False
49,American Academy of Art,"332 S Michigan Ave, Chicago, Illinois 60604-4302",www.aaart.edu,"4-year, Private for-profit",391.0,332 S Michigan Ave, Chicago,Illinois,60604-4302,0,For-Profit,False
50,American Baptist College,"1800 Baptist World Ctr Dr, Nashville, Tennessee 37207",www.abcnash.edu,"4-year, Private not-for-profit",106.0,1800 Baptist World Ctr Dr, Nashville,Tennessee,37207,0,Not-For-Profit,False
51,American Baptist Seminary of the West,"2606 Dwight Way, Berkeley, California 94704-3029",www.absw.edu,"4-year, Private not-for-profit",65.0,2606 Dwight Way, Berkeley,California,94704-3029,0,Not-For-Profit,False
52,American College,"270 Bryn Mawr Ave, Bryn Mawr, Pennsylvania 19010-2196",www.theamericancollege.edu,"4-year, Private not-for-profit",386.0,270 Bryn Mawr Ave, Bryn Mawr,Pennsylvania,19010-2196,0,Not-For-Profit,False
53,American College of Acupuncture and Oriental Med,"9100 Park  West Drive, Houston, Texas 70063-4104",www.acaom.edu,"4-year, Private for-profit",127.0,9100 Park  West Drive, Houston,Texas,70063-4104,0,For-Profit,False
54,American College of Traditional Chinese Medicine,"455 Arkansas St, San Francisco, California 94107",www.actcm.edu,"4-year, Private not-for-profit",322.0,455 Arkansas St, San Francisco,California,94107,0,Not-For-Profit,False
55,American Conservatory Theater,"30 Grant Ave, San Francisco, California 94108-5834",www.act-sf.org,"4-year, Private not-for-profit",44.0,30 Grant Ave, San Francisco,California,94108-5834,0,Not-For-Profit,False
56,American Film Institute Conservatory,"2021 N Western Ave, Los Angeles, California 90027-1625",www.AFI.com,"4-year, Private not-for-profit",357.0,2021 N Western Ave, Los Angeles,California,90027-1625,0,Not-For-Profit,False
57,American Indian College of the Assemblies of God Inc,"10020 N 15th Ave, Phoenix, Arizona 85021",www.aicag.edu,"4-year, Private not-for-profit",99.0,10020 N 15th Ave, Phoenix,Arizona,85021,0,Not-For-Profit,False
58,American Intercontinental University,"2250 North Commerce Pkwy, Weston, Florida 33326",www.aiufl.edu,"4-year, Private for-profit",887.0,2250 North Commerce Pkwy, Weston,Florida,33326,0,For-Profit,False
59,American Intercontinental University,"9999 Richmond Avenue, Houston, Texas 77042",www.houston.aiuniv.edu,"4-year, Private for-profit",474.0,9999 Richmond Avenue, Houston,Texas,77042,0,For-Profit,False
60,American Intercontinental University,"12655 West Jefferson Blvd, Los Angeles, California 90066",la.aiuniv.edu/,"4-year, Private for-profit",229.0,12655 West Jefferson Blvd, Los Angeles,California,90066,0,For-Profit,False
61,American InterContinental University,"3330 Peachtree Rd., NE, Atlanta, Georgia 30326-1001",www.aiuniv.edu,"4-year, Private for-profit",967.0,"3330 Peachtree Rd., NE", Atlanta,Georgia,30326-1001,0,For-Profit,False
62,American Intercontinental University Online,"5550 Prairie Stone Pky-Ste 400, Hoffman Estates, Illinois 60192",www.aiuonline.edu,"4-year, Private for-profit",22798.0,5550 Prairie Stone Pky-Ste 400, Hoffman Estates,Illinois,60192,0,For-Profit,False
63,American Intercontinental University-Dunwoody Campus,"6600 Peachtree Dunwoody Road,  500 Embassy Row, Atlanta, Georgia 30328",www.aiudunwoody.com,"4-year, Private for-profit",980.0,"6600 Peachtree Dunwoody Road,  500 Embassy Row", Atlanta,Georgia,30328,0,For-Profit,False
64,American International College,"1000 State Street, Springfield, Massachusetts 01109",www.aic.edu,"4-year, Private not-for-profit",3112.0,1000 State Street, Springfield,Massachusetts,01109,0,Not-For-Profit,False
65,American Jewish University,"15600 Mulholland Dr, Los Angeles, California 90077-1519",www.ajula.edu,"4-year, Private not-for-profit",209.0,15600 Mulholland Dr, Los Angeles,California,90077-1519,0,Not-For-Profit,False
66,American Musical and Dramatic Academy,"2109 Broadway, New York, New York 10023",www.amda.edu,"4-year, primarily associate's, Private not-for-profit",896.0,2109 Broadway, New York,York,10023,1,Not-For-Profit,True
67,American Public University System,"111 W Congress St, Charles Town, West Virginia 25414",www.apus.edu,"4-year, Private for-profit",21729.0,111 W Congress St, Charles Town,Virginia,25414,0,For-Profit,False
68,American Samoa Community College,"Pago Pago, American Samoa 96799-2609",www.amsamoa.edu,"4-year, primarily associate's, Public",1806.0,Pago Pago, American,Samoa,96799-2609,1,Not-For-Profit,True
69,American University,"4400 Massachusetts Ave NW, Washington, District of Columbia 20016-8001",WWW.AMERICAN.EDU,"4-year, Private not-for-profit",11684.0,4400 Massachusetts Ave NW, Washington,Columbia,20016-8001,0,Not-For-Profit,False
70,American University of Health Sciences,"3501 Atlantic Ave., Long Beach, California 90807",auhs.edu,"4-year, primarily associate's, Private for-profit",33.0,3501 Atlantic Ave., Long Beach,California,90807,1,For-Profit,True
71,American University of Puerto Rico,"Carretera Estatal #2 Km.48.1, Manati, Puerto Rico 00674-1082",www.aupr.edu,"4-year, Private not-for-profit",1528.0,Carretera Estatal #2 Km.48.1, Manati,Rico,00674-1082,0,Not-For-Profit,False
72,American University of Puerto Rico,"Carr. #2, Km.14.4, Bo. Hato Tejas, Bayamon, Puerto Rico 00960-2037",www.aupr.edu,"4-year, Private not-for-profit",1747.0,"Carr. #2, Km.14.4, Bo. Hato Tejas", Bayamon,Rico,00960-2037,0,Not-For-Profit,False
73,Amherst College,"Boltwood Avenue, Amherst, Massachusetts 01002-5000",www.amherst.edu,"4-year, Private not-for-profit",1697.0,Boltwood Avenue, Amherst,Massachusetts,01002-5000,0,Not-For-Profit,False
74,Amridge University,"1200 Taylor Rd, Montgomery, Alabama 36117-3553",www.amridgeuniversity.edu,"4-year, Private not-for-profit",705.0,1200 Taylor Rd, Montgomery,Alabama,36117-3553,0,Not-For-Profit,False
75,Anderson University,"316 Boulevard, Anderson, South Carolina 29621",www.andersonuniversity.edu,"4-year, Private not-for-profit",2064.0,316 Boulevard, Anderson,Carolina,29621,0,Not-For-Profit,False
76,Anderson University,"1100 E 5th St, Anderson, Indiana 46012-3495",www.anderson.edu,"4-year, Private not-for-profit",2737.0,1100 E 5th St, Anderson,Indiana,46012-3495,0,Not-For-Profit,False
77,Andover Newton Theological School,"210 Herrick Rd, Newton Centre, Massachusetts 02459-2243",www.ants.edu,"4-year, Private not-for-profit",320.0,210 Herrick Rd, Newton Centre,Massachusetts,02459-2243,0,Not-For-Profit,False
78,Andrews University,"Berrien Springs, Michigan 49104",www.andrews.edu,"4-year, Private not-for-profit",3419.0,Berrien Springs,,Michigan,49104,0,Not-For-Profit,False
79,Angelo State University,"2601 W Avenue N, San Angelo, Texas 76909",www.angelo.edu,"4-year, Public",6155.0,2601 W Avenue N, San Angelo,Texas,76909,0,Not-For-Profit,False
80,Angley College,"1700 S. Woodland Blvd., Deland, Florida 32720",www.angley.edu,"4-year, primarily associate's, Private for-profit",206.0,1700 S. Woodland Blvd., Deland,Florida,32720,1,For-Profit,True
81,Anna Maria College,"50 Sunset Lane, Paxton, Massachusetts 01612-1198",www.annamaria.edu,"4-year, Private not-for-profit",1333.0,50 Sunset Lane, Paxton,Massachusetts,01612-1198,0,Not-For-Profit,False
82,Anthem College-Phoenix,"1515 E Indian School Road, Phoenix, Arizona 85014",www.anthem.edu,"4-year, primarily associate's, Private for-profit",2280.0,1515 E Indian School Road, Phoenix,Arizona,85014,1,For-Profit,True
83,Antioch University McGregor,"900 Dayton St, Yellow Springs, Ohio 45387",www.mcgregor.edu,"4-year, Private not-for-profit",630.0,900 Dayton St, Yellow Springs,Ohio,45387,0,Not-For-Profit,False
84,Antioch University New England,"40 Avon St, Keene, New Hampshire 03431",www.antiochne.edu,"4-year, Private not-for-profit",842.0,40 Avon St, Keene,Hampshire,03431,0,Not-For-Profit,False
85,Antioch University PhD Program in Leadership and Change,"150 E South College St, Yellow Springs, Ohio 45387",www.phd.antioch.edu,"4-year, Private not-for-profit",133.0,150 E South College St, Yellow Springs,Ohio,45387,0,Not-For-Profit,False
86,Antioch University Seattle,"2326 6th Ave, Seattle, Washington 98121",www.antiochseattle.edu,"4-year, Private not-for-profit",854.0,2326 6th Ave, Seattle,Washington,98121,0,Not-For-Profit,False
87,Antioch University-Los Angeles Branch,"400 Corporate Pointe, Culver City, California 90230-7615",www.antiochla.edu,"4-year, Private not-for-profit",697.0,400 Corporate Pointe, Culver City,California,90230-7615,0,Not-For-Profit,False
88,Antioch University-Santa Barbara,"801 Garden St, Suite 101, Santa Barbara, California 93101-1581",www.antiochsb.edu,"4-year, Private not-for-profit",369.0,"801 Garden St, Suite 101", Santa Barbara,California,93101-1581,0,Not-For-Profit,False
89,Apex School of Theology,"2945 South Miami Blvd Ste 114, Durham, North Carolina 27703",www.apexsot.edu,"4-year, primarily associate's, Private not-for-profit",171.0,2945 South Miami Blvd Ste 114, Durham,Carolina,27703,1,Not-For-Profit,True
90,Apostolic Bible Institute Inc,"6944 Hudson Blvd N, Saint Paul, Minnesota 55128-7021",www.apostolic.org,"4-year, Private not-for-profit",64.0,6944 Hudson Blvd N, Saint Paul,Minnesota,55128-7021,0,Not-For-Profit,False
91,Appalachian Bible College,"161 College Drive, Mount Hope, West Virginia 25880",www.abc.edu,"4-year, Private not-for-profit",286.0,161 College Drive, Mount Hope,Virginia,25880,0,Not-For-Profit,False
92,Appalachian College of Pharmacy,"1060 Dragon Road, Oakwood, Virginia 24631",www.uacp.org,"4-year, Private not-for-profit",191.0,1060 Dragon Road, Oakwood,Virginia,24631,0,Not-For-Profit,False
93,Appalachian School of Law,"1169 Edgewater Drive, Grundy, Virginia 24614-2825",www.asl.edu,"4-year, Private not-for-profit",350.0,1169 Edgewater Drive, Grundy,Virginia,24614-2825,0,Not-For-Profit,False
94,Appalachian State University,"Boone, North Carolina 28608",www.appstate.edu/,"4-year, Public",16610.0,Boone, North,Carolina,28608,0,Not-For-Profit,False
95,Aquinas College,"1607 Robinson Rd SE, Grand Rapids, Michigan 49506-1799",www.aquinas.edu,"4-year, Private not-for-profit",2159.0,1607 Robinson Rd SE, Grand Rapids,Michigan,49506-1799,0,Not-For-Profit,False
96,Aquinas College,"4210 Harding Pike, Nashville, Tennessee 37205",www.aquinascollege.edu,"4-year, primarily associate's, Private not-for-profit",847.0,4210 Harding Pike, Nashville,Tennessee,37205,1,Not-For-Profit,True
97,Aquinas Institute of Theology,"23 S. Spring Ave., Saint Louis, Missouri 63108",www.ai.edu,"4-year, Private not-for-profit",267.0,23 S. Spring Ave., Saint Louis,Missouri,63108,0,Not-For-Profit,False
98,Arcadia University,"450 S Easton Rd, Glenside, Pennsylvania 19038-3295",www.arcadia.edu,"4-year, Private not-for-profit",3868.0,450 S Easton Rd, Glenside,Pennsylvania,19038-3295,0,Not-For-Profit,False
99,Argosy University-Atlanta,"980 Hammond Drive, Suite 100, Atlanta, Georgia 30328",www.argosy.edu/atlanta,"4-year, Private for-profit",2481.0,"980 Hammond Drive, Suite 100", Atlanta,Georgia,30328,0,For-Profit,False
100,Argosy University-Chicago,"225 N. Michigan Ave, Ste 1300, Chicago, Illinois 60601",www.argosy.edu/chicago,"4-year, Private for-profit",4347.0,"225 N. Michigan Ave, Ste 1300", Chicago,Illinois,60601,0,For-Profit,False
101,Argosy University-Dallas,"8080 Park Lane, Suite 400A, Dallas, Texas 75231",www.argosy.edu/dallas/,"4-year, Private for-profit",470.0,"8080 Park Lane, Suite 400A", Dallas,Texas,75231,0,For-Profit,False
102,Argosy University-Denver,"1200 Lincoln St., Denver, Colorado 80203",www.argosy.edu/denver/,"4-year, primarily associate's, Private for-profit",260.0,1200 Lincoln St., Denver,Colorado,80203,1,For-Profit,True
103,Argosy University-Hawaii,"400 ASB Tower, 1001 Bishop Street, Honolulu, Hawaii 96813",www.argosy.edu/hawaii/,"4-year, Private for-profit",457.0,"400 ASB Tower, 1001 Bishop Street", Honolulu,Hawaii,96813,0,For-Profit,False
104,Argosy University-Inland Empire,"636 East Brier Dr, Suite 120, San Bernardino, California 92408",www.argosy.edu/inlandempire,"4-year, Private for-profit",434.0,"636 East Brier Dr, Suite 120", San Bernardino,California,92408,0,For-Profit,False
105,Argosy University-Los Angeles,"2950 31st Street, Santa Monica, California 90405",www.argosy.edu/losangeles,"4-year, primarily associate's, Private for-profit",307.0,2950 31st Street, Santa Monica,California,90405,1,For-Profit,True
106,Argosy University-Nashville,"100 Centerview Dr, Suite 225, Nashville, Tennessee 37214",www.argosy.edu/nashville/,"4-year, Private for-profit",442.0,"100 Centerview Dr, Suite 225", Nashville,Tennessee,37214,0,For-Profit,False
107,Argosy University-Orange County,"3501 West Sunflower Avenue, Suite 110, Santa Ana, California 92704",www.argosy.edu/orangecounty,"4-year, Private for-profit",881.0,"3501 West Sunflower Avenue, Suite 110", Santa Ana,California,92704,0,For-Profit,False
108,Argosy University-Phoenix,"2233 West Dunlap Avenue, Phoenix, Arizona 85021",www.argosy.edu/phoenix/,"4-year, Private for-profit",773.0,2233 West Dunlap Avenue, Phoenix,Arizona,85021,0,For-Profit,False
109,Argosy University-Salt Lake City,"121 Election Rd Ste 300, Draper, Utah 84020",www.argosy.edu/locations/salt-lake-city,"4-year, Private for-profit",64.0,121 Election Rd Ste 300, Draper,Utah,84020,0,For-Profit,False
110,Argosy University-San Diego,"1615 Murray Canyon Road, Suite 100, San Diego, California 92108",www.argosy.edu/sandiego,"4-year, primarily associate's, Private for-profit",175.0,"1615 Murray Canyon Road, Suite 100", San Diego,California,92108,1,For-Profit,True
111,Argosy University-San Francisco Bay Area,"1005 Atlantic Avenue, Alameda, California 94501",www.argosy.edu/sanfrancisco,"4-year, Private for-profit",768.0,1005 Atlantic Avenue, Alameda,California,94501,0,For-Profit,False
112,Argosy University-Sarasota,"5250 17th Street, Sarasota, Florida 34235",www.argosy.edu/sarasota/,"4-year, Private for-profit",1783.0,5250 17th Street, Sarasota,Florida,34235,0,For-Profit,False
113,Argosy University-Schaumburg,"999 North Plaza Dr., Suite 111, Schaumburg, Illinois 60173-5403",www.argosy.edu/schaumburg,"4-year, Private for-profit",730.0,"999 North Plaza Dr., Suite 111", Schaumburg,Illinois,60173-5403,0,For-Profit,False
114,Argosy University-Seattle,"2601-A Elliott Avenue, Seattle, Washington 98121",www.argosy.edu/seattle,"4-year, Private for-profit",448.0,2601-A Elliott Avenue, Seattle,Washington,98121,0,For-Profit,False
115,Argosy University-Tampa,"4401 North Himes Ave, Suite 150, Tampa, Florida 33614",www.argosy.edu/tampa,"4-year, Private for-profit",771.0,"4401 North Himes Ave, Suite 150", Tampa,Florida,33614,0,For-Profit,False
116,Argosy University-Twin Cities,"1515 Central Parkway, Eagan, Minnesota 55121",www.argosy.edu/twincities/,"4-year, primarily associate's, Private for-profit",2046.0,1515 Central Parkway, Eagan,Minnesota,55121,1,For-Profit,True
117,Argosy University-Washington D.C.,"1550 Wilson Boulevard, Suite 600, Arlington, Virginia 22209",www.argosy.edu/washingtondc,"4-year, Private for-profit",1137.0,"1550 Wilson Boulevard, Suite 600", Arlington,Virginia,22209,0,For-Profit,False
118,Arizona School of Acupuncture and Oriental Medicine,"4646 E Fort Lowell Rd Ste 104, Tucson, Arizona 85712",www.asaom.edu,"4-year, Private for-profit",50.0,4646 E Fort Lowell Rd Ste 104, Tucson,Arizona,85712,0,For-Profit,False
119,Arizona State University,"Tempe, Arizona 85287",www.asu.edu,"4-year, Public",67082.0,Tempe,,Arizona,85287,0,Not-For-Profit,False
120,Arkansas Baptist College,"1621 Dr. Marting Luther King Drive, Little Rock, Arkansas 72202-6099",www.arkansasbaptist.edu,"4-year, primarily associate's, Private not-for-profit",626.0,1621 Dr. Marting Luther King Drive, Little Rock,Arkansas,72202-6099,1,Not-For-Profit,True
121,Arkansas State University-Main Campus,"2105 E. Aggie Road, State University, Arkansas 72467",www.astate.edu,"4-year, Public",11490.0,2105 E. Aggie Road, State University,Arkansas,72467,0,Not-For-Profit,False
122,Arkansas Tech University,"Administration Bldg 200; 1509 N Boulder Ave, Russellville, Arkansas 72801-2222",www.atu.edu,"4-year, Public",7492.0,Administration Bldg 200; 1509 N Boulder Ave, Russellville,Arkansas,72801-2222,0,Not-For-Profit,False
123,Arlington Baptist College,"3001 W Division, Arlington, Texas 76012-3425",www.abconline.edu,"4-year, Private not-for-profit",140.0,3001 W Division, Arlington,Texas,76012-3425,0,Not-For-Profit,False
124,Armstrong Atlantic State University,"11935 Abercorn St, Savannah, Georgia 31419-1997",www.armstrong.edu,"4-year, Public",7067.0,11935 Abercorn St, Savannah,Georgia,31419-1997,0,Not-For-Profit,False
125,Art Academy of Cincinnati,"1212 Jackson Street, Cincinnati, Ohio 45202-1706",www.artacademy.edu,"4-year, Private not-for-profit",167.0,1212 Jackson Street, Cincinnati,Ohio,45202-1706,0,Not-For-Profit,False
126,Art Center College of Design,"1700 Lida St, Pasadena, California 91103",www.artcenter.edu,"4-year, Private not-for-profit",1632.0,1700 Lida St, Pasadena,California,91103,0,Not-For-Profit,False
127,Asbury College,"1 Macklem Dr, Wilmore, Kentucky 40390-1198",www.asbury.edu,"4-year, Private not-for-profit",1550.0,1 Macklem Dr, Wilmore,Kentucky,40390-1198,0,Not-For-Profit,False
128,Asbury Theological Seminary,"204 N Lexington Ave, Wilmore, Kentucky 40390-1199",www.asburyseminary.edu,"4-year, Private not-for-profit",1602.0,204 N Lexington Ave, Wilmore,Kentucky,40390-1199,0,Not-For-Profit,False
129,Ashford University,"400 N Bluff Blvd, Clinton, Iowa 52733-2967",www.ashford.edu,"4-year, Private for-profit",25605.0,400 N Bluff Blvd, Clinton,Iowa,52733-2967,0,For-Profit,False
130,Ashland University,"401 College Ave, Ashland, Ohio 44805",www.ashland.edu,"4-year, Private not-for-profit",6200.0,401 College Ave, Ashland,Ohio,44805,0,Not-For-Profit,False
131,Assemblies of God Theological Seminary,"1435 N Glenstone Ave, Springfield, Missouri 65802-2131",www.agts.edu,"4-year, Private not-for-profit",470.0,1435 N Glenstone Ave, Springfield,Missouri,65802-2131,0,Not-For-Profit,False
132,Associated Mennonite Biblical Seminary,"3003 Benham Ave, Elkhart, Indiana 46517-1999",www.ambs.edu,"4-year, Private not-for-profit",146.0,3003 Benham Ave, Elkhart,Indiana,46517-1999,0,Not-For-Profit,False
133,Assumption College,"500 Salisbury St, Worcester, Massachusetts 01609-1296",www.assumption.edu,"4-year, Private not-for-profit",2876.0,500 Salisbury St, Worcester,Massachusetts,01609-1296,0,Not-For-Profit,False
135,Athenaeum of Ohio,"6616 Beechmont Ave, Cincinnati, Ohio 45230-2091",www.athenaeum.edu,"4-year, Private not-for-profit",253.0,6616 Beechmont Ave, Cincinnati,Ohio,45230-2091,0,Not-For-Profit,False
136,Athens State University,"300 N Beaty St, Athens, Alabama 35611",www.athens.edu,"4-year, Public",3330.0,300 N Beaty St, Athens,Alabama,35611,0,Not-For-Profit,False
