index,name,address,Website,Type,Size,Address,City,State,ZipCode,associates,Profit,True/False
914,Harris-Stowe State University,"3026 Laclede Ave, Saint Louis, Missouri 63103-2136",www.hssu.edu,"4-year, Public",1854.0,3026 Laclede Ave, Saint Louis,Missouri,63103-2136,0,Not-For-Profit,False
915,Hartwick College,"One Hartwick Drive, Oneonta, New York 13820-4020",www.hartwick.edu/x12933.xml,"4-year, Private not-for-profit",1493.0,One Hartwick Drive, Oneonta,York,13820-4020,0,Not-For-Profit,False
916,Harvard University,"Massachusetts Hall, Cambridge, Massachusetts 02138",www.harvard.edu/,"4-year, Private not-for-profit",26496.0,Massachusetts Hall, Cambridge,Massachusetts,02138,0,Not-For-Profit,False
917,Harvey Mudd College,"301 Platt Blvd., Claremont, California 91711",www.hmc.edu,"4-year, Private not-for-profit",738.0,301 Platt Blvd., Claremont,California,91711,0,Not-For-Profit,False
918,Haskell Indian Nations University,"155 Indian Ave, Lawrence, Kansas 66046-4800",www.haskell.edu,"4-year, primarily associate's, Public",997.0,155 Indian Ave, Lawrence,Kansas,66046-4800,1,Not-For-Profit,True
919,Hastings College,"710 N Turner Ave, Hastings, Nebraska 68901",www.hastings.edu,"4-year, Private not-for-profit",1153.0,710 N Turner Ave, Hastings,Nebraska,68901,0,Not-For-Profit,False
920,Haverford College,"370  Lancaster Ave, Haverford, Pennsylvania 19041-1392",www.haverford.edu,"4-year, Private not-for-profit",1169.0,370  Lancaster Ave, Haverford,Pennsylvania,19041-1392,0,Not-For-Profit,False
921,Hawaii Pacific University,"1164 Bishop St., Suite 216, Honolulu, Hawaii 96813",www.hpu.edu,"4-year, Private not-for-profit",8293.0,"1164 Bishop St., Suite 216", Honolulu,Hawaii,96813,0,Not-For-Profit,False
923,Hebrew College,"160 Herrick Road, Newton Centre, Massachusetts 02459-2237",www.hebrewcollege.edu,"4-year, Private not-for-profit",219.0,160 Herrick Road, Newton Centre,Massachusetts,02459-2237,0,Not-For-Profit,False
924,Hebrew Theological College,"7135 N Carpenter Rd, Skokie, Illinois 60077",www.htc.edu/,"4-year, Private not-for-profit",545.0,7135 N Carpenter Rd, Skokie,Illinois,60077,0,Not-For-Profit,False
925,Hebrew Union College-Jewish Institute of Religion,"3101 Clifton Ave, Cincinnati, Ohio 45220",www.huc.edu,"4-year, Private not-for-profit",292.0,3101 Clifton Ave, Cincinnati,Ohio,45220,0,Not-For-Profit,False
926,Hebrew Union College-Jewish Institute of Religion,"One W 4th St, New York, New York 10012-1186",www.huc.edu,"4-year, Private not-for-profit",182.0,One W 4th St, New York,York,10012-1186,0,Not-For-Profit,False
927,Hebrew Union College-Jewish Institute of Religion,"3077 University Ave, Los Angeles, California 90007-3796",www.huc.edu,"4-year, Private not-for-profit",110.0,3077 University Ave, Los Angeles,California,90007-3796,0,Not-For-Profit,False
